Tm,Att_20,Yds_20,TD_20,%Rush_20,Att_10,Yds_10,TD_10,%Rush_10,Att_5,Yrds_5,TD_5,%Rush_5,Highlights,Player,Year
KAN,20,48,0,23.80%,7,5,0,15.20%,5,1,0,21.70%,All Jerick McKinnon red zone rushing plays,Jerick McKinnon,2022
MIA,20,54,2,39.20%,8,13,1,38.10%,3,2,1,25.00%,All Raheem Mostert red zone rushing plays,Raheem Mostert,2022
NYJ,19,42,3,31.10%,8,21,3,26.70%,3,4,2,21.40%,All Michael Carter red zone rushing plays,Michael Carter,2022
BAL,19,41,3,21.60%,7,17,3,17.50%,3,8,3,18.80%,All Kenyan Drake red zone rushing plays,Kenyan Drake,2022
ATL,19,89,1,17.10%,8,29,1,16.70%,1,2,0,5.60%,All Caleb Huntley red zone rushing plays,Caleb Huntley,2022
BAL,19,77,2,21.60%,9,17,2,22.50%,4,3,1,25.00%,All Lamar Jackson red zone rushing plays,Lamar Jackson,2022
NOR,17,67,6,30.90%,12,45,5,46.20%,3,2,2,27.30%,All Taysom Hill red zone rushing plays,Taysom Hill,2022
ATL,17,41,4,15.30%,8,16,4,16.70%,4,4,3,22.20%,All Marcus Mariota red zone rushing plays,Marcus Mariota,2022
2TM,17,30,1,0.00%,10,2,0,0.00%,4,1,0,0.00%,All James Robinson red zone rushing plays,James Robinson,2022
PHI,16,68,4,13.40%,12,41,4,16.70%,6,13,3,14.60%,All Kenneth Gainwell red zone rushing plays,Kenneth Gainwell,2022
IND,16,41,1,22.50%,7,1,0,21.90%,3,-3,0,18.80%,All Zack Moss red zone rushing plays,Zack Moss,2022
NYJ,15,49,2,24.60%,9,13,2,30.00%,4,-2,1,28.60%,All Breece Hall red zone rushing plays,Breece Hall,2022
CAR,15,54,2,20.50%,5,12,1,15.20%,1,2,1,7.10%,All Chuba Hubbard red zone rushing plays,Chuba Hubbard,2022
CIN,15,35,2,19.50%,6,15,2,12.00%,0,0,0,0.00%,All Samaje Perine red zone rushing plays,Samaje Perine,2022
BAL,14,36,2,15.90%,7,17,2,17.50%,4,8,2,25.00%,All J.K. Dobbins red zone rushing plays,J.K. Dobbins,2022
DEN,14,18,2,36.80%,10,8,2,35.70%,6,2,2,40.00%,All Melvin Gordon red zone rushing plays,Melvin Gordon,2022
LAC,14,28,2,19.20%,8,15,2,21.10%,3,4,1,20.00%,All Joshua Kelley red zone rushing plays,Joshua Kelley,2022
JAX,14,26,5,17.50%,9,19,5,18.80%,6,7,5,26.10%,All Trevor Lawrence red zone rushing plays,Trevor Lawrence,2022
KAN,14,94,4,16.70%,6,20,3,13.00%,3,6,2,13.00%,All Patrick Mahomes red zone rushing plays,Patrick Mahomes,2022
2TM,13,50,2,0.00%,5,9,1,0.00%,1,2,0,0.00%,All Eno Benjamin red zone rushing plays,Eno Benjamin,2022
MIN,13,46,5,20.00%,12,32,4,26.70%,3,-3,2,12.00%,All Alexander Mattison red zone rushing plays,Alexander Mattison,2022
BAL,12,17,3,13.60%,7,17,3,17.50%,2,2,2,12.50%,All Gus Edwards red zone rushing plays,Gus Edwards,2022
SFO,12,50,2,11.80%,7,21,2,11.70%,2,0,0,6.50%,All Elijah Mitchell red zone rushing plays,Elijah Mitchell,2022
ARI,12,28,3,0.176,5,10,3,0.147,4,5,2,0.25,All Kyler Murray red zone rushing plays,Kyler Murray,2022
2TM,12,37,6,0,11,30,6,0,6,10,5,0,All Latavius Murray red zone rushing plays,Latavius Murray,2022
PIT,12,40,1,16.20%,4,10,1,9.80%,2,3,1,8.30%,All Jaylen Warren red zone rushing plays,Jaylen Warren,2022
BUF,11,29,0,14.50%,4,11,0,10.30%,0,0,0,0.00%,All James Cook red zone rushing plays,James Cook,2022
NWE,11,39,3,17.70%,6,19,3,18.80%,2,4,2,16.70%,All Damien Harris red zone rushing plays,Damien Harris,2022
BAL,11,29,1,12.50%,4,13,1,10.00%,1,2,1,6.30%,All Tyler Huntley red zone rushing plays,Tyler Huntley,2022
PIT,11,30,3,14.90%,7,8,3,17.10%,6,5,3,25.00%,All Kenny Pickett red zone rushing plays,Kenny Pickett,2022
TAM,11,25,1,22.00%,5,4,1,17.20%,3,2,1,23.10%,All Rachaad White red zone rushing plays,Rachaad White,2022
CLE,10,22,2,12.70%,5,7,2,13.20%,2,7,2,10.50%,All Jacoby Brissett red zone rushing plays,Jacoby Brissett,2022
SFO,10,8,0,9.80%,4,-1,0,6.70%,1,-1,0,3.20%,All Tyrion Davis-Price red zone rushing plays,Tyrion Davis-Price,2022
NYJ,10,30,1,16.40%,4,1,0,13.30%,3,1,0,21.40%,All Zonovan Knight red zone rushing plays,Zonovan Knight,2022
PHI,10,34,3,8.40%,5,16,3,6.90%,3,3,2,7.30%,All Boston Scott red zone rushing plays,Boston Scott,2022
TAM,9,3,1,18.00%,2,2,1,6.90%,2,2,1,15.40%,All Tom Brady red zone rushing plays,Tom Brady,2022
NYG,9,32,1,12.20%,4,8,1,8.90%,1,3,1,4.20%,All Matt Breida red zone rushing plays,Matt Breida,2022
KAN,9,22,3,10.70%,5,4,2,10.90%,4,4,2,17.40%,All Clyde Edwards-Helaire red zone rushing plays,Clyde Edwards-Helaire,2022
LAR,9,30,3,18.00%,7,25,3,26.90%,3,8,2,21.40%,All Darrell Henderson red zone rushing plays,Darrell Henderson,2022
IND,9,29,1,0.127,1,3,1,0.031,1,3,1,0.063,All Deon Jackson red zone rushing plays,Deon Jackson,2022
ARI,8,11,1,11.80%,2,-2,1,5.90%,2,-2,1,12.50%,All Keaontay Ingram red zone rushing plays,Keaontay Ingram,2022
NWE,8,4,1,12.90%,3,10,1,9.40%,1,3,1,8.30%,All Mac Jones red zone rushing plays,Mac Jones,2022
HOU,8,27,1,13.60%,4,15,1,13.30%,2,5,1,15.40%,All Dare Ogunbowale red zone rushing plays,Dare Ogunbowale,2022
SFO,8,29,2,7.80%,3,11,1,5.00%,1,-2,0,3.20%,All Deebo Samuel red zone rushing plays,Deebo Samuel,2022
NYJ,8,18,1,13.10%,4,11,1,13.30%,2,0,0,14.30%,All Zach Wilson red zone rushing plays,Zach Wilson,2022
HOU,7,11,0,11.90%,3,6,0,10.00%,0,0,0,0.00%,All Royce Freeman red zone rushing plays,Royce Freeman,2022
WAS,7,22,0,0.09,3,6,0,0.07,0,0,0,0,All Jaret Patterson red zone rushing plays,Jaret Patterson,2022
SFO,7,6,1,6.90%,6,0,1,10.00%,5,-2,1,16.10%,All Brock Purdy red zone rushing plays,Brock Purdy,2022
GNB,7,14,1,10.80%,5,-4,1,15.60%,4,-1,1,25.00%,All Aaron Rodgers red zone rushing plays,Aaron Rodgers,2022
WAS,7,26,1,9.00%,1,10,1,2.30%,0,0,0,0.00%,All Curtis Samuel red zone rushing plays,Curtis Samuel,2022
SEA,7,35,1,10.80%,2,8,1,9.50%,0,0,0,0.00%,All Geno Smith red zone rushing plays,Geno Smith,2022
TEN,7,10,2,14.60%,6,2,2,25.00%,2,2,2,11.80%,All Ryan Tannehill red zone rushing plays,Ryan Tannehill,2022
MIN,6,26,2,9.20%,4,-6,1,8.90%,3,-2,1,12.00%,All Kirk Cousins red zone rushing plays,Kirk Cousins,2022
NOR,6,7,0,10.90%,2,5,0,7.70%,2,5,0,18.20%,All Andy Dalton red zone rushing plays,Andy Dalton,2022
CHI,6,16,0,7.10%,4,7,0,9.30%,1,1,0,5.00%,All Trestan Ebner red zone rushing plays,Trestan Ebner,2022
JAX,6,10,1,7.50%,4,7,1,8.30%,2,-2,0,8.70%,All Jamycal Hasty red zone rushing plays,Jamycal Hasty,2022
LAC,6,23,0,0.082,3,5,0,0.079,1,2,0,0.067,All Justin Herbert red zone rushing plays,Justin Herbert,2022
CAR,6,24,1,8.20%,1,7,1,3.00%,0,0,0,0.00%,All Baker Mayfield red zone rushing plays,Baker Mayfield,2022
HOU,6,34,2,10.20%,3,10,1,10.00%,1,4,1,7.70%,All Davis Mills red zone rushing plays,Davis Mills,2022
DAL,6,31,1,8.60%,2,11,1,4.80%,0,0,0,0.00%,All Dak Prescott red zone rushing plays,Dak Prescott,2022
CLE,6,16,1,7.60%,1,1,0,2.60%,1,1,0,5.30%,All Deshaun Watson red zone rushing plays,Deshaun Watson,2022
CAR,5,19,3,6.80%,4,17,3,12.10%,2,2,1,14.30%,All Raheem Blackshear red zone rushing plays,Raheem Blackshear,2022
CAR,5,19,2,6.80%,4,6,2,12.10%,3,7,2,21.40%,All Sam Darnold red zone rushing plays,Sam Darnold,2022
MIA,5,4,2,9.80%,2,4,2,9.50%,2,4,2,16.70%,All Chase Edmonds red zone rushing plays,Chase Edmonds,2022
SFO,5,6,2,4.90%,4,3,2,6.70%,4,3,2,12.90%,All Jimmy Garoppolo red zone rushing plays,Jimmy Garoppolo,2022
2TM,5,3,1,0.00%,5,3,1,0.00%,1,-2,0,0.00%,All Nyheim Hines red zone rushing plays,Nyheim Hines,2022
NOR,5,15,1,9.10%,3,7,1,11.50%,1,0,0,9.10%,All Mark Ingram red zone rushing plays,Mark Ingram,2022
DET,5,27,1,5.30%,2,5,0,3.30%,1,1,0,3.00%,All Justin Jackson red zone rushing plays,Justin Jackson,2022
SFO,5,22,1,4.90%,2,1,1,3.30%,2,1,1,6.50%,All Kyle Juszczyk red zone rushing plays,Kyle Juszczyk,2022
LAC,5,8,0,6.80%,2,0,0,5.30%,2,0,0,13.30%,All Sony Michel red zone rushing plays,Sony Michel,2022
SEA,5,5,0,7.70%,1,1,0,4.80%,0,0,0,0.00%,All Rashaad Penny red zone rushing plays,Rashaad Penny,2022
ATL,5,8,0,4.50%,2,0,0,4.20%,2,0,0,11.10%,All Desmond Ridder red zone rushing plays,Desmond Ridder,2022
WAS,5,23,1,6.40%,4,10,1,9.30%,2,3,1,11.80%,All Carson Wentz red zone rushing plays,Carson Wentz,2022
WAS,5,5,0,6.40%,1,-3,0,2.30%,1,-3,0,5.90%,All Jonathan Williams red zone rushing plays,Jonathan Williams,2022
DEN,5,36,3,13.20%,2,7,2,7.10%,2,7,2,13.30%,All Russell Wilson red zone rushing plays,Russell Wilson,2022
NYG,4,5,1,5.40%,3,2,1,6.70%,1,2,1,4.20%,All Gary Brightwell red zone rushing plays,Gary Brightwell,2022
LAR,4,1,0,8.00%,3,-2,0,11.50%,2,0,0,14.30%,All Malcolm Brown red zone rushing plays,Malcolm Brown,2022
SFO,4,3,1,3.90%,2,3,1,3.30%,1,-2,0,3.20%,All Tevin Coleman red zone rushing plays,Tevin Coleman,2022
IND,4,9,0,5.60%,2,4,0,6.30%,1,0,0,6.30%,All Sam Ehlinger red zone rushing plays,Sam Ehlinger,2022
DET,4,-1,0,4.20%,2,-1,0,3.30%,0,0,0,0.00%,All Jared Goff red zone rushing plays,Jared Goff,2022
WAS,4,12,1,5.10%,3,8,1,7.00%,1,1,1,5.90%,All Taylor Heinicke red zone rushing plays,Taylor Heinicke,2022
BAL,4,15,0,4.50%,1,3,0,2.50%,0,0,0,0.00%,All Justice Hill red zone rushing plays,Justice Hill,2022
SFO,4,19,0,3.90%,1,3,0,1.70%,0,0,0,0.00%,All Trey Lance red zone rushing plays,Trey Lance,2022
IND,4,3,1,5.60%,3,2,1,9.40%,2,1,1,12.50%,All Matt Ryan red zone rushing plays,Matt Ryan,2022
DET,4,12,0,4.20%,1,4,0,1.60%,0,0,0,0.00%,All Amon-Ra St. Brown red zone rushing plays,Amon-Ra St. Brown,2022
MIA,4,8,0,7.80%,0,0,0,0.00%,0,0,0,0.00%,All Tua Tagovailoa red zone rushing plays,Tua Tagovailoa,2022
ARI,4,8,1,5.90%,1,1,1,2.90%,1,1,1,6.30%,All Darrel Williams red zone rushing plays,Darrel Williams,2022
DEN,4,8,0,10.50%,4,8,0,14.30%,1,0,0,6.70%,All Javonte Williams red zone rushing plays,Javonte Williams,2022
LAR,3,12,1,6.00%,0,0,0,0.00%,0,0,0,0.00%,All Tutu Atwell red zone rushing plays,Tutu Atwell,2022
LVR,3,7,0,5.80%,2,4,0,7.40%,1,3,0,8.30%,All Brandon Bolden red zone rushing plays,Brandon Bolden,2022
HOU,3,0,0,5.10%,3,0,0,10.00%,2,-3,0,15.40%,All Rex Burkhead red zone rushing plays,Rex Burkhead,2022
LVR,3,7,0,5.80%,0,0,0,0.00%,0,0,0,0.00%,All Derek Carr red zone rushing plays,Derek Carr,2022
ARI,3,9,1,4.40%,3,9,1,8.80%,1,1,1,6.30%,All Corey Clement red zone rushing plays,Corey Clement,2022
DAL,3,16,0,4.30%,1,1,0,2.40%,0,0,0,0.00%,All Malik Davis red zone rushing plays,Malik Davis,2022
BAL,3,4,0,3.40%,2,1,0,5.00%,2,1,0,12.50%,All Mike Davis red zone rushing plays,Mike Davis,2022
HOU,3,-1,0,5.10%,2,0,0,6.70%,1,1,0,7.70%,All Jeff Driskel red zone rushing plays,Jeff Driskel,2022
BAL,3,24,1,3.40%,1,2,0,2.50%,0,0,0,0.00%,All Devin Duvernay red zone rushing plays,Devin Duvernay,2022
NWE,3,18,1,4.80%,1,3,0,3.10%,0,0,0,0.00%,All Kevin Harris red zone rushing plays,Kevin Harris,2022
SEA,3,4,0,0.046,2,3,0,0.095,0,0,0,0,All Travis Homer red zone rushing plays,Travis Homer,2022
SFO,3,17,1,2.90%,2,3,0,3.30%,1,-1,0,3.20%,All Jordan Mason red zone rushing plays,Jordan Mason,2022
MIN,3,6,0,0.046,2,2,0,0.044,1,0,0,0.04,All Nick Mullens red zone rushing plays,Nick Mullens,2022
NWE,3,5,1,4.80%,1,3,1,3.10%,1,3,1,8.30%,All Pierre Strong red zone rushing plays,Pierre Strong,2022
PIT,3,2,2,4.10%,3,2,2,7.30%,3,2,2,12.50%,All Mitchell Trubisky red zone rushing plays,Mitchell Trubisky,2022
NYJ,3,7,1,4.90%,3,7,1,10.00%,1,1,1,7.10%,All Mike White red zone rushing plays,Mike White,2022
TEN,3,25,1,6.30%,1,4,0,4.20%,0,0,0,0.00%,All Malik Willis red zone rushing plays,Malik Willis,2022
MIA,2,16,1,3.90%,0,0,0,0.00%,0,0,0,0.00%,All Salvon Ahmed red zone rushing plays,Salvon Ahmed,2022
TAM,2,5,0,4.00%,1,4,0,3.40%,0,0,0,0.00%,All Giovani Bernard red zone rushing plays,Giovani Bernard,2022
NWE,2,-8,0,3.20%,0,0,0,0.00%,0,0,0,0.00%,All Kendrick Bourne red zone rushing plays,Kendrick Bourne,2022
CAR,2,5,0,2.70%,2,5,0,6.10%,0,0,0,0.00%,All Spencer Brown red zone rushing plays,Spencer Brown,2022
TEN,2,-3,0,4.20%,0,0,0,0.00%,0,0,0,0.00%,All Julius Chestnut red zone rushing plays,Julius Chestnut,2022
SEA,2,4,0,3.10%,0,0,0,0.00%,0,0,0,0.00%,All DeeJay Dallas red zone rushing plays,DeeJay Dallas,2022
ARI,2,12,0,2.90%,1,3,0,2.90%,1,3,0,6.30%,All Greg Dortch red zone rushing plays,Greg Dortch,2022
TAM,2,3,0,4.00%,2,3,0,6.90%,0,0,0,0.00%,All Chris Godwin red zone rushing plays,Chris Godwin,2022
MIN,2,4,2,3.10%,2,4,2,4.40%,2,4,2,8.00%,All C.J. Ham red zone rushing plays,C.J. Ham,2022
KAN,2,-2,0,2.40%,2,-2,0,4.30%,0,0,0,0.00%,All Chad Henne red zone rushing plays,Chad Henne,2022
MIA,2,1,1,0.039,1,2,1,0.048,1,2,1,0.083,All Tyreek Hill red zone rushing plays,Tyreek Hill,2022
MIA,2,1,1,3.90%,2,1,1,9.50%,2,1,1,16.70%,All Alec Ingold red zone rushing plays,Alec Ingold,2022
NOR,2,4,0,3.60%,0,0,0,0.00%,0,0,0,0.00%,All David Johnson red zone rushing plays,David Johnson,2022
PIT,2,5,0,2.70%,0,0,0,0.00%,0,0,0,0.00%,All Diontae Johnson red zone rushing plays,Diontae Johnson,2022
NYJ,2,0,0,3.30%,0,0,0,0.00%,0,0,0,0.00%,All Ty Johnson red zone rushing plays,Ty Johnson,2022
JAX,2,7,0,2.50%,1,0,0,2.10%,0,0,0,0.00%,All Zay Jones red zone rushing plays,Zay Jones,2022
BUF,2,-2,0,2.60%,0,0,0,0.00%,0,0,0,0.00%,All Case Keenum red zone rushing plays,Case Keenum,2022
KAN,2,5,0,2.40%,2,5,0,4.30%,1,1,0,4.30%,All Travis Kelce red zone rushing plays,Travis Kelce,2022
ARI,2,5,0,2.90%,1,2,0,2.90%,0,0,0,0.00%,All Colt McCoy red zone rushing plays,Colt McCoy,2022
BUF,2,2,1,2.60%,1,7,1,2.60%,0,0,0,0.00%,All Isaiah McKenzie red zone rushing plays,Isaiah McKenzie,2022
PHI,2,4,1,1.70%,2,4,1,2.80%,1,1,1,2.40%,All Gardner Minshew red zone rushing plays,Gardner Minshew,2022
LAR,2,0,0,4.00%,1,-4,0,3.80%,0,0,0,0.00%,All Bryce Perkins red zone rushing plays,Bryce Perkins,2022
LAR,2,9,0,4.00%,0,0,0,0.00%,0,0,0,0.00%,All Brandon Powell red zone rushing plays,Brandon Powell,2022
NOR,2,4,0,3.60%,0,0,0,0.00%,0,0,0,0.00%,All Adam Prentice red zone rushing plays,Adam Prentice,2022
BAL,2,3,0,2.30%,2,3,0,5.00%,0,0,0,0.00%,All Patrick Ricard red zone rushing plays,Patrick Ricard,2022
MIA,2,1,1,3.90%,1,1,1,4.80%,1,1,1,8.30%,All Durham Smythe red zone rushing plays,Durham Smythe,2022
PIT,2,4,1,2.70%,1,2,1,2.40%,1,2,1,4.20%,All Benny Snell red zone rushing plays,Benny Snell,2022
LVR,2,13,0,3.80%,1,4,0,3.70%,0,0,0,0.00%,All Jarrett Stidham red zone rushing plays,Jarrett Stidham,2022
CIN,2,6,0,2.60%,1,-3,0,2.00%,1,-3,0,4.50%,All Trent Taylor red zone rushing plays,Trent Taylor,2022
NWE,2,18,1,3.20%,1,-1,0,3.10%,0,0,0,0.00%,All Tyquan Thornton red zone rushing plays,Tyquan Thornton,2022
KAN,2,25,1,2.40%,0,0,0,0.00%,0,0,0,0.00%,All Kadarius Toney red zone rushing plays,Kadarius Toney,2022
PIT,2,3,1,2.70%,1,1,1,2.40%,1,1,1,4.20%,All Derek Watt red zone rushing plays,Derek Watt,2022
LVR,2,-5,0,3.80%,0,0,0,0.00%,0,0,0,0.00%,All Zamir White red zone rushing plays,Zamir White,2022
IND,2,5,0,2.80%,0,0,0,0.00%,0,0,0,0.00%,All Jordan Wilkins red zone rushing plays,Jordan Wilkins,2022
ATL,2,6,1,1.80%,1,8,1,2.10%,0,0,0,0.00%,All Avery Williams red zone rushing plays,Avery Williams,2022
LVR,1,3,0,1.90%,1,3,0,3.70%,0,0,0,0.00%,All Ameer Abdullah red zone rushing plays,Ameer Abdullah,2022
NYG,1,2,1,1.40%,1,2,1,2.20%,1,2,1,4.20%,All Daniel Bellinger red zone rushing plays,Daniel Bellinger,2022
NYJ,1,15,1,1.60%,0,0,0,0.00%,0,0,0,0.00%,All Braxton Berrios red zone rushing plays,Braxton Berrios,2022
DEN,1,1,0,2.60%,0,0,0,0.00%,0,0,0,0.00%,All Mike Boone red zone rushing plays,Mike Boone,2022
MIA,1,10,0,2.00%,0,0,0,0.00%,0,0,0,0.00%,All Teddy Bridgewater red zone rushing plays,Teddy Bridgewater,2022
KAN,1,2,0,1.20%,0,0,0,0.00%,0,0,0,0.00%,All Michael Burton red zone rushing plays,Michael Burton,2022
IND,1,1,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All Parris Campbell red zone rushing plays,Parris Campbell,2022
CIN,1,-1,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Ja'Marr Chase red zone rushing plays,Ja'Marr Chase,2022
PIT,1,0,0,1.40%,1,0,0,2.40%,1,0,0,4.20%,All Chase Claypool red zone rushing plays,Chase Claypool,2022
NYJ,1,1,0,1.60%,1,1,0,3.30%,1,1,0,7.10%,All Tyler Conklin red zone rushing plays,Tyler Conklin,2022
JAX,1,3,1,1.30%,1,3,1,2.10%,1,3,1,4.30%,All Snoop Conner red zone rushing plays,Snoop Conner,2022
JAX,1,0,0,1.30%,1,0,0,2.10%,0,0,0,0.00%,All Evan Engram red zone rushing plays,Evan Engram,2022
IND,1,0,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All Nick Foles red zone rushing plays,Nick Foles,2022
KAN,1,1,1,1.20%,1,1,1,2.20%,1,1,1,4.30%,All Noah Gray red zone rushing plays,Noah Gray,2022
DEN,1,9,0,2.60%,0,0,0,0.00%,0,0,0,0.00%,All KJ Hamler red zone rushing plays,KJ Hamler,2022
KAN,1,3,1,1.20%,1,3,1,2.20%,1,3,1,4.30%,All Mecole Hardman red zone rushing plays,Mecole Hardman,2022
DAL,1,2,1,1.40%,1,2,1,2.40%,1,2,1,4.30%,All Peyton Hendershot red zone rushing plays,Peyton Hendershot,2022
LAC,1,3,0,1.40%,1,3,0,2.60%,1,3,0,6.70%,All Zander Horvath red zone rushing plays,Zander Horvath,2022
WAS,1,9,1,1.30%,1,9,1,2.30%,0,0,0,0.00%,All Sam Howell red zone rushing plays,Sam Howell,2022
MIA,1,0,0,2.00%,0,0,0,0.00%,0,0,0,0.00%,All Robert Hunt red zone rushing plays,Robert Hunt,2022
BAL,1,1,0,1.10%,0,0,0,0.00%,0,0,0,0.00%,All Andy Isabella red zone rushing plays,Andy Isabella,2022
MIN,1,3,1,1.50%,1,3,1,2.20%,1,3,1,4.00%,All Justin Jefferson red zone rushing plays,Justin Jefferson,2022
CLE,1,4,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All D'Ernest Johnson red zone rushing plays,D'Ernest Johnson,2022
BUF,1,4,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Duke Johnson red zone rushing plays,Duke Johnson,2022
SFO,1,-1,0,1.00%,0,0,0,0.00%,0,0,0,0.00%,All Josh Johnson red zone rushing plays,Josh Johnson,2022
KAN,1,2,1,1.20%,1,2,1,2.20%,1,2,1,4.30%,All Ronald Jones red zone rushing plays,Ronald Jones,2022
CHI,1,8,0,1.20%,0,0,0,0.00%,0,0,0,0.00%,All Velus Jones red zone rushing plays,Velus Jones,2022
DAL,1,6,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All CeeDee Lamb red zone rushing plays,CeeDee Lamb,2022
