Tm,Att_20,Yds_20,TD_20,%Rush_20,Att_10,Yds_10,TD_10,%Rush_10,Att_5,Yrds_5,TD_5,%Rush_5,Highlights,Player,Year
HOU,1,-1,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Noah Brown red zone rushing plays,Noah Brown,2023
TEN,1,-3,0,1.90%,0,0,0,0.00%,0,0,0,0.00%,All Treylon Burks red zone rushing plays,Treylon Burks,2023
LVR,1,3,0,1.60%,0,0,0,0.00%,0,0,0,0.00%,All DeAndre Carter red zone rushing plays,DeAndre Carter,2023
NYG,1,1,0,1.60%,1,1,0,4.50%,0,0,0,0.00%,All Jashaun Corbin red zone rushing plays,Jashaun Corbin,2023
SFO,1,1,1,1.00%,1,1,1,1.80%,1,1,1,3.10%,All Sam Darnold red zone rushing plays,Sam Darnold,2023
LAC,1,1,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All Derius Davis red zone rushing plays,Derius Davis,2023
BUF,1,5,0,0.90%,1,5,0,1.60%,0,0,0,0.00%,All Stefon Diggs red zone rushing plays,Stefon Diggs,2023
BAL,1,4,1,0.90%,1,4,1,1.60%,1,4,1,3.30%,All J.K. Dobbins red zone rushing plays,J.K. Dobbins,2023
LAC,1,1,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All Elijah Dotson red zone rushing plays,Elijah Dotson,2023
BAL,1,0,0,0.90%,0,0,0,0.00%,0,0,0,0.00%,All Devin Duvernay red zone rushing plays,Devin Duvernay,2023
TAM,1,19,1,1.60%,0,0,0,0.00%,0,0,0,0.00%,All Chris Godwin red zone rushing plays,Chris Godwin,2023
PHI,1,1,0,1.00%,0,0,0,0.00%,0,0,0,0.00%,All Dallas Goedert red zone rushing plays,Dallas Goedert,2023
WAS,1,0,0,1.80%,1,0,0,3.80%,0,0,0,0.00%,All Derrick Gore red zone rushing plays,Derrick Gore,2023
KAN,1,1,0,1.40%,1,1,0,2.60%,0,0,0,0.00%,All Noah Gray red zone rushing plays,Noah Gray,2023
MIN,1,3,0,2.00%,1,3,0,3.60%,1,3,0,6.30%,All Jaren Hall red zone rushing plays,Jaren Hall,2023
BUF,1,-3,0,0.90%,1,-3,0,1.60%,0,0,0,0.00%,All Deonte Harty red zone rushing plays,Deonte Harty,2023
ATL,1,11,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Taylor Heinicke red zone rushing plays,Taylor Heinicke,2023
DAL,1,0,0,1.00%,1,0,0,2.00%,1,0,0,4.20%,All Peyton Hendershot red zone rushing plays,Peyton Hendershot,2023
MIA,1,-10,0,1.10%,0,0,0,0.00%,0,0,0,0.00%,All Tyreek Hill red zone rushing plays,Tyreek Hill,2023
ATL,1,0,0,1.30%,1,0,0,2.80%,0,0,0,0.00%,All KhaDarel Hodge red zone rushing plays,KhaDarel Hodge,2023
MIN,1,-12,0,2.00%,1,-12,0,3.60%,0,0,0,0.00%,All Justin Jefferson red zone rushing plays,Justin Jefferson,2023
HOU,1,1,0,1.30%,1,1,0,2.30%,1,1,0,4.30%,All Case Keenum red zone rushing plays,Case Keenum,2023
CHI,1,1,0,1.30%,1,1,0,2.60%,0,0,0,0.00%,All Cole Kmet red zone rushing plays,Cole Kmet,2023
LAR,1,-3,0,1.20%,0,0,0,0.00%,0,0,0,0.00%,All Cooper Kupp red zone rushing plays,Cooper Kupp,2023
HOU,1,4,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All John Metchie red zone rushing plays,John Metchie,2023
HOU,1,9,0,1.30%,1,9,0,2.30%,0,0,0,0.00%,All Davis Mills red zone rushing plays,Davis Mills,2023
DEN,1,8,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Marvin Mims red zone rushing plays,Marvin Mims,2023
CHI,1,3,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Darnell Mooney red zone rushing plays,Darnell Mooney,2023
CHI,1,16,1,1.30%,0,0,0,0.00%,0,0,0,0.00%,All D.J. Moore red zone rushing plays,D.J. Moore,2023
CLE,1,-20,0,1.50%,0,0,0,0.00%,0,0,0,0.00%,All Elijah Moore red zone rushing plays,Elijah Moore,2023
ARI,1,-1,0,1.70%,0,0,0,0.00%,0,0,0,0.00%,All Rondale Moore red zone rushing plays,Rondale Moore,2023
DET,1,-2,0,0.90%,0,0,0,0.00%,0,0,0,0.00%,All Kalif Raymond red zone rushing plays,Kalif Raymond,2023
JAX,1,3,0,1.50%,0,0,0,0.00%,0,0,0,0.00%,All Calvin Ridley red zone rushing plays,Calvin Ridley,2023
NYG,1,7,0,1.60%,0,0,0,0.00%,0,0,0,0.00%,All Wan'Dale Robinson red zone rushing plays,Wan'Dale Robinson,2023
IND,1,2,0,1.10%,0,0,0,0.00%,0,0,0,0.00%,All Trey Sermon red zone rushing plays,Trey Sermon,2023
BUF,1,10,0,0.90%,0,0,0,0.00%,0,0,0,0.00%,All Khalil Shakir red zone rushing plays,Khalil Shakir,2023
NYG,1,6,0,1.60%,1,6,0,4.50%,0,0,0,0.00%,All Sterling Shepard red zone rushing plays,Sterling Shepard,2023
CAR,1,9,0,1.80%,0,0,0,0.00%,0,0,0,0.00%,All Ihmir Smith-Marsette red zone rushing plays,Ihmir Smith-Marsette,2023
ATL,1,0,0,1.30%,1,0,0,2.80%,1,0,0,9.10%,All Jonnu Smith red zone rushing plays,Jonnu Smith,2023
DEN,1,0,0,1.30%,1,0,0,2.80%,1,0,0,6.30%,All Jarrett Stidham red zone rushing plays,Jarrett Stidham,2023
DET,1,3,0,0.90%,0,0,0,0.00%,0,0,0,0.00%,All Amon-Ra St. Brown red zone rushing plays,Amon-Ra St. Brown,2023
CAR,1,6,0,1.80%,0,0,0,0.00%,0,0,0,0.00%,All Adam Thielen red zone rushing plays,Adam Thielen,2023
LVR,1,4,0,1.60%,0,0,0,0.00%,0,0,0,0.00%,All Tre Tucker red zone rushing plays,Tre Tucker,2023
ARI,1,1,1,1.70%,1,1,1,3.00%,1,1,1,5.60%,All Clayton Tune red zone rushing plays,Clayton Tune,2023
TAM,1,-2,0,1.60%,1,-2,0,4.00%,1,-2,0,8.30%,All Ke'Shawn Vaughn red zone rushing plays,Ke'Shawn Vaughn,2023
DET,1,19,1,0.90%,0,0,0,0.00%,0,0,0,0.00%,All Jameson Williams red zone rushing plays,Jameson Williams,2023
CIN,1,2,0,1.40%,1,2,0,2.10%,0,0,0,0.00%,All Trayveon Williams red zone rushing plays,Trayveon Williams,2023
GNB,1,3,0,1.10%,0,0,0,0.00%,0,0,0,0.00%,All Emanuel Wilson red zone rushing plays,Emanuel Wilson,2023
NWE,1,17,1,2.40%,0,0,0,0.00%,0,0,0,0.00%,All Bailey Zappe red zone rushing plays,Bailey Zappe,2023
LAR,65,184,14,73.90%,33,63,13,78.60%,19,31,12,82.60%,All Kyren Williams red zone rushing plays,Kyren Williams,2024
ATL,59,142,13,67.00%,34,72,12,65.40%,14,20,9,70.00%,All Bijan Robinson red zone rushing plays,Bijan Robinson,2024
IND,57,117,7,57.60%,31,44,7,55.40%,15,7,5,50.00%,All Jonathan Taylor red zone rushing plays,Jonathan Taylor,2024
GNB,56,141,14,57.70%,40,88,14,69.00%,19,22,11,73.10%,All Josh Jacobs red zone rushing plays,Josh Jacobs,2024
HOU,56,125,9,66.70%,29,47,8,74.40%,12,8,6,80.00%,All Joe Mixon red zone rushing plays,Joe Mixon,2024
PHI,55,202,6,42.30%,28,50,4,42.40%,13,18,4,37.10%,All Saquon Barkley red zone rushing plays,Saquon Barkley,2024
BAL,55,158,13,64.70%,32,57,13,72.70%,18,21,9,94.70%,All Derrick Henry red zone rushing plays,Derrick Henry,2024
DET,50,158,12,44.20%,26,53,10,40.00%,15,16,8,42.90%,All Jahmyr Gibbs red zone rushing plays,Jahmyr Gibbs,2024
PIT,50,133,5,53.20%,26,42,5,49.10%,7,6,3,41.20%,All Najee Harris red zone rushing plays,Najee Harris,2024
PHI,49,127,14,37.70%,28,45,13,42.40%,18,12,11,51.40%,All Jalen Hurts red zone rushing plays,Jalen Hurts,2024
DET,49,161,12,43.40%,33,76,11,50.80%,17,25,8,48.60%,All David Montgomery red zone rushing plays,David Montgomery,2024
BUF,48,142,12,43.60%,29,66,11,48.30%,13,12,6,48.10%,All James Cook red zone rushing plays,James Cook,2024
CIN,44,82,6,62.90%,28,45,6,63.60%,12,6,5,57.10%,All Chase Brown red zone rushing plays,Chase Brown,2024
ARI,44,138,8,62.00%,21,48,8,72.40%,11,8,5,64.70%,All James Conner red zone rushing plays,James Conner,2024
KAN,42,91,7,50.60%,24,36,7,60.00%,14,19,5,56.00%,All Kareem Hunt red zone rushing plays,Kareem Hunt,2024
MIN,42,74,4,62.70%,24,8,3,66.70%,12,-4,3,70.60%,All Aaron Jones red zone rushing plays,Aaron Jones,2024
CAR,41,94,8,63.10%,27,34,7,65.90%,17,16,7,77.30%,All Chuba Hubbard red zone rushing plays,Chuba Hubbard,2024
WAS,41,119,7,33.30%,24,43,7,35.30%,11,7,4,36.70%,All Brian Robinson red zone rushing plays,Brian Robinson,2024
NWE,40,97,6,60.60%,18,31,5,62.10%,11,15,5,64.70%,All Rhamondre Stevenson red zone rushing plays,Rhamondre Stevenson,2024
MIA,38,51,5,55.10%,23,13,4,59.00%,12,-1,3,66.70%,All De'Von Achane red zone rushing plays,De'Von Achane,2024
WAS,37,107,6,30.10%,16,30,5,23.50%,10,7,4,33.30%,All Jayden Daniels red zone rushing plays,Jayden Daniels,2024
TAM,37,149,8,48.10%,22,56,6,51.20%,12,8,4,60.00%,All Bucky Irving red zone rushing plays,Bucky Irving,2024
NOR,33,94,6,53.20%,17,38,5,54.80%,7,9,3,58.30%,All Alvin Kamara red zone rushing plays,Alvin Kamara,2024
JAX,32,113,6,47.80%,21,40,5,52.50%,11,11,4,50.00%,All Tank Bigsby red zone rushing plays,Tank Bigsby,2024
SFO,32,93,3,33.30%,19,25,3,33.90%,7,-1,1,29.20%,All Jordan Mason red zone rushing plays,Jordan Mason,2024
TEN,32,96,3,54.20%,14,40,3,56.00%,5,8,2,50.00%,All Tony Pollard red zone rushing plays,Tony Pollard,2024
BUF,31,102,11,28.20%,18,45,10,30.00%,10,8,7,37.00%,All Josh Allen red zone rushing plays,Josh Allen,2024
CHI,31,63,3,52.50%,18,24,3,54.50%,8,-4,3,38.10%,All D'Andre Swift red zone rushing plays,D'Andre Swift,2024
LAC,28,76,7,38.40%,17,30,5,37.00%,8,11,4,36.40%,All J.K. Dobbins red zone rushing plays,J.K. Dobbins,2024
DEN,26,59,4,35.60%,13,25,3,39.40%,8,1,1,38.10%,All Javonte Williams red zone rushing plays,Javonte Williams,2024
DAL,24,61,2,44.40%,10,13,2,38.50%,5,0,2,41.70%,All Rico Dowdle red zone rushing plays,Rico Dowdle,2024
ATL,23,44,3,26.10%,13,23,3,25.00%,5,2,1,25.00%,All Tyler Allgeier red zone rushing plays,Tyler Allgeier,2024
SEA,22,45,6,40.70%,17,36,6,48.60%,11,8,4,44.00%,All Zach Charbonnet red zone rushing plays,Zach Charbonnet,2024
LVR,22,35,4,37.30%,14,8,4,41.20%,10,0,4,50.00%,All Alexander Mattison red zone rushing plays,Alexander Mattison,2024
JAX,21,47,2,31.30%,10,11,2,25.00%,5,4,2,22.70%,All Travis Etienne red zone rushing plays,Travis Etienne,2024
NYG,21,51,3,37.50%,10,23,3,30.30%,4,2,3,25.00%,All Tyrone Tracy red zone rushing plays,Tyrone Tracy,2024
SEA,21,23,4,38.90%,15,19,4,42.90%,11,9,4,44.00%,All Kenneth Walker red zone rushing plays,Kenneth Walker,2024
LAC,20,59,4,27.40%,12,35,4,26.10%,5,7,3,22.70%,All Gus Edwards red zone rushing plays,Gus Edwards,2024
WAS,20,80,3,16.30%,11,28,3,16.20%,5,6,3,16.70%,All Austin Ekeler red zone rushing plays,Austin Ekeler,2024
PHI,20,78,1,15.40%,8,15,0,12.10%,2,1,0,5.70%,All Kenneth Gainwell red zone rushing plays,Kenneth Gainwell,2024
TAM,20,49,3,26.00%,13,21,3,30.20%,4,-2,2,20.00%,All Rachaad White red zone rushing plays,Rachaad White,2024
NYJ,19,57,5,52.80%,10,14,3,62.50%,8,8,3,80.00%,All Breece Hall red zone rushing plays,Breece Hall,2024
IND,19,81,5,19.20%,14,35,5,25.00%,8,15,4,26.70%,All Anthony Richardson red zone rushing plays,Anthony Richardson,2024
BUF,18,88,3,16.40%,7,23,2,11.70%,2,4,1,7.40%,All Ray Davis red zone rushing plays,Ray Davis,2024
BAL,18,73,3,21.20%,8,49,3,18.20%,0,0,0,0.00%,All Lamar Jackson red zone rushing plays,Lamar Jackson,2024
DEN,17,30,4,23.30%,6,13,4,18.20%,5,12,4,23.80%,All Bo Nix red zone rushing plays,Bo Nix,2024
PIT,17,41,1,18.10%,6,13,1,11.30%,3,2,1,17.60%,All Jaylen Warren red zone rushing plays,Jaylen Warren,2024
CLE,16,33,3,33.30%,10,23,3,31.30%,5,5,3,35.70%,All Nick Chubb red zone rushing plays,Nick Chubb,2024
CIN,16,43,2,22.90%,11,13,2,25.00%,6,1,1,28.60%,All Zack Moss red zone rushing plays,Zack Moss,2024
PIT,15,44,5,16.00%,11,20,5,20.80%,4,3,2,23.50%,All Justin Fields red zone rushing plays,Justin Fields,2024
DEN,15,40,1,20.50%,6,13,1,18.20%,3,2,1,14.30%,All Jaleel McLaughlin red zone rushing plays,Jaleel McLaughlin,2024
SFO,15,51,5,15.60%,10,34,5,17.90%,4,3,3,16.70%,All Brock Purdy red zone rushing plays,Brock Purdy,2024
NWE,14,38,1,21.20%,5,1,0,17.20%,3,-2,0,17.60%,All Antonio Gibson red zone rushing plays,Antonio Gibson,2024
SFO,14,49,4,14.60%,10,16,3,17.90%,4,9,3,16.70%,All Isaac Guerendo red zone rushing plays,Isaac Guerendo,2024
CHI,14,27,6,23.70%,10,10,6,30.30%,8,9,6,38.10%,All Roschon Johnson red zone rushing plays,Roschon Johnson,2024
MIA,14,20,2,20.30%,10,2,2,25.60%,4,-2,1,22.20%,All Raheem Mostert red zone rushing plays,Raheem Mostert,2024
LVR,13,51,2,22.00%,8,18,2,23.50%,4,3,1,20.00%,All Ameer Abdullah red zone rushing plays,Ameer Abdullah,2024
2TM,13,25,2,0.00%,4,3,1,0.00%,2,1,1,0.00%,All Cam Akers red zone rushing plays,Cam Akers,2024
LAC,13,21,2,17.80%,11,16,2,23.90%,8,6,2,36.40%,All Hassan Haskins red zone rushing plays,Hassan Haskins,2024
NYG,13,47,2,23.20%,7,3,2,21.20%,6,2,2,37.50%,All Daniel Jones red zone rushing plays,Daniel Jones,2024
GNB,13,26,3,13.40%,8,19,3,13.80%,4,2,2,15.40%,All Emanuel Wilson red zone rushing plays,Emanuel Wilson,2024
DAL,12,10,3,22.20%,8,8,3,30.80%,3,5,3,25.00%,All Ezekiel Elliott red zone rushing plays,Ezekiel Elliott,2024
CLE,12,16,0,25.00%,9,11,0,28.10%,5,3,0,35.70%,All D'Onta Foreman red zone rushing plays,D'Onta Foreman,2024
WAS,12,38,3,9.80%,7,28,3,10.30%,2,4,2,6.70%,All Jeremy McNichols red zone rushing plays,Jeremy McNichols,2024
ARI,12,56,2,16.90%,2,7,1,6.90%,1,1,1,5.90%,All Kyler Murray red zone rushing plays,Kyler Murray,2024
IND,12,14,2,12.10%,7,4,2,12.50%,6,0,2,20.00%,All Trey Sermon red zone rushing plays,Trey Sermon,2024
SFO,12,46,1,12.50%,5,11,1,8.90%,3,5,1,12.50%,All Patrick Taylor red zone rushing plays,Patrick Taylor,2024
DEN,11,33,2,15.10%,4,12,2,12.10%,2,4,2,9.50%,All Audric Estime red zone rushing plays,Audric Estime,2024
GNB,11,28,1,11.30%,4,12,1,6.90%,1,1,1,3.80%,All Jordan Love red zone rushing plays,Jordan Love,2024
WAS,11,40,2,8.90%,8,27,2,11.80%,2,3,1,6.70%,All Chris Rodriguez red zone rushing plays,Chris Rodriguez,2024
NYG,11,31,4,19.60%,9,26,4,27.30%,4,7,3,25.00%,All Devin Singletary red zone rushing plays,Devin Singletary,2024
TEN,11,33,4,18.60%,6,11,3,24.00%,4,4,2,40.00%,All Tyjae Spears red zone rushing plays,Tyjae Spears,2024
NYJ,10,25,1,27.80%,5,10,1,31.30%,2,3,1,20.00%,All Braelon Allen red zone rushing plays,Braelon Allen,2024
CLE,10,25,2,20.80%,7,17,2,21.90%,2,6,2,14.30%,All Jerome Ford red zone rushing plays,Jerome Ford,2024
SFO,10,18,1,10.40%,5,7,1,8.90%,2,-7,1,8.30%,All Deebo Samuel red zone rushing plays,Deebo Samuel,2024
KAN,10,30,0,12.00%,6,14,0,15.00%,4,3,0,16.00%,All Carson Steele red zone rushing plays,Carson Steele,2024
CHI,10,36,0,16.90%,1,0,0,3.00%,1,0,0,4.80%,All Caleb Williams red zone rushing plays,Caleb Williams,2024
PIT,10,16,2,10.60%,8,7,2,15.10%,2,2,2,11.80%,All Russell Wilson red zone rushing plays,Russell Wilson,2024
CAR,10,57,5,15.40%,7,44,5,17.10%,2,5,2,9.10%,All Bryce Young red zone rushing plays,Bryce Young,2024
GNB,9,33,1,9.30%,2,2,1,3.40%,1,1,1,3.80%,All Chris Brooks red zone rushing plays,Chris Brooks,2024
DET,9,7,0,8.00%,2,1,0,3.10%,1,0,0,2.90%,All Jared Goff red zone rushing plays,Jared Goff,2024
NOR,9,38,4,14.50%,6,27,4,19.40%,1,2,1,8.30%,All Taysom Hill red zone rushing plays,Taysom Hill,2024
KAN,9,20,2,10.80%,2,2,1,5.00%,1,1,1,4.00%,All Patrick Mahomes red zone rushing plays,Patrick Mahomes,2024
NOR,9,33,1,14.50%,4,7,0,12.90%,1,-2,0,8.30%,All Jamaal Williams red zone rushing plays,Jamaal Williams,2024
LAR,8,23,0,9.10%,6,10,0,14.30%,2,3,0,8.70%,All Blake Corum red zone rushing plays,Blake Corum,2024
TAM,8,25,3,10.40%,5,13,2,11.60%,2,1,1,10.00%,All Baker Mayfield red zone rushing plays,Baker Mayfield,2024
KAN,8,21,1,9.60%,5,7,1,12.50%,3,1,1,12.00%,All Isiah Pacheco red zone rushing plays,Isiah Pacheco,2024
SEA,8,26,1,14.80%,3,-6,0,8.60%,3,-6,0,12.00%,All Geno Smith red zone rushing plays,Geno Smith,2024
ARI,7,13,1,9.90%,3,4,1,10.30%,3,4,1,17.60%,All Michael Carter red zone rushing plays,Michael Carter,2024
MIN,7,3,1,10.40%,4,-6,1,11.10%,2,1,1,11.80%,All Sam Darnold red zone rushing plays,Sam Darnold,2024
2TM,7,12,1,0.00%,5,7,1,0.00%,4,5,1,0.00%,All Khalil Herbert red zone rushing plays,Khalil Herbert,2024
JAX,7,27,0,10.40%,3,10,0,7.50%,1,0,0,4.50%,All D'Ernest Johnson red zone rushing plays,D'Ernest Johnson,2024
BUF,7,12,1,6.40%,3,7,1,5.00%,2,2,1,7.40%,All Ty Johnson red zone rushing plays,Ty Johnson,2024
TEN,7,13,0,11.90%,2,5,0,8.00%,0,0,0,0.00%,All Will Levis red zone rushing plays,Will Levis,2024
CAR,7,20,2,10.80%,3,3,2,7.30%,2,2,2,9.10%,All Miles Sanders red zone rushing plays,Miles Sanders,2024
HOU,7,13,0,8.30%,3,-7,0,7.70%,2,3,0,13.30%,All C.J. Stroud red zone rushing plays,C.J. Stroud,2024
LVR,7,16,1,11.90%,6,10,1,17.60%,2,2,1,10.00%,All Zamir White red zone rushing plays,Zamir White,2024
CIN,6,14,1,8.60%,3,2,1,6.80%,3,2,1,14.30%,All Joe Burrow red zone rushing plays,Joe Burrow,2024
IND,6,12,1,6.10%,4,10,1,7.10%,1,2,0,3.30%,All Tyler Goodson red zone rushing plays,Tyler Goodson,2024
LAC,6,24,2,8.20%,4,16,2,8.70%,1,4,1,4.50%,All Justin Herbert red zone rushing plays,Justin Herbert,2024
SFO,6,15,0,6.30%,1,1,0,1.80%,1,1,0,4.20%,All Christian McCaffrey red zone rushing plays,Christian McCaffrey,2024
LAR,6,10,0,6.80%,1,2,0,2.40%,1,2,0,4.30%,All Matthew Stafford red zone rushing plays,Matthew Stafford,2024
KAN,6,29,1,7.20%,1,3,1,2.50%,1,3,1,4.00%,All Xavier Worthy red zone rushing plays,Xavier Worthy,2024
MIN,5,11,0,7.50%,2,0,0,5.60%,0,0,0,0.00%,All Ty Chandler red zone rushing plays,Ty Chandler,2024
NYG,5,7,0,8.90%,3,2,0,9.10%,2,0,0,12.50%,All Eric Gray red zone rushing plays,Eric Gray,2024
BAL,5,9,0,5.90%,3,9,0,6.80%,1,1,0,5.30%,All Justice Hill red zone rushing plays,Justice Hill,2024
NWE,5,34,2,7.60%,2,10,1,6.90%,0,0,0,0.00%,All Drake Maye red zone rushing plays,Drake Maye,2024
LVR,5,9,0,8.50%,2,2,0,5.90%,2,2,0,10.00%,All Sincere McCormick red zone rushing plays,Sincere McCormick,2024
HOU,5,3,0,6.00%,2,-2,0,5.10%,0,0,0,0.00%,All Dare Ogunbowale red zone rushing plays,Dare Ogunbowale,2024
DAL,5,3,0,9.30%,2,8,0,7.70%,0,0,0,0.00%,All Cooper Rush red zone rushing plays,Cooper Rush,2024
TAM,5,16,2,6.50%,3,5,2,7.00%,2,0,1,10.00%,All Sean Tucker red zone rushing plays,Sean Tucker,2024
CLE,5,15,1,10.40%,2,3,1,6.30%,1,1,1,7.10%,All Deshaun Watson red zone rushing plays,Deshaun Watson,2024
GNB,5,9,1,5.20%,3,3,1,5.20%,1,-1,0,3.80%,All Malik Willis red zone rushing plays,Malik Willis,2024
MIA,5,13,0,7.20%,0,0,0,0.00%,0,0,0,0.00%,All Jaylen Wright red zone rushing plays,Jaylen Wright,2024
DEN,4,3,1,5.50%,4,3,1,12.10%,3,3,1,14.30%,All Michael Burton red zone rushing plays,Michael Burton,2024
NOR,4,1,1,6.50%,3,1,1,9.70%,3,1,1,25.00%,All Derek Carr red zone rushing plays,Derek Carr,2024
TEN,4,28,0,6.80%,1,-1,0,4.00%,1,-1,0,10.00%,All Julius Chestnut red zone rushing plays,Julius Chestnut,2024
JAX,4,11,3,6.00%,4,11,3,10.00%,3,5,2,13.60%,All Trevor Lawrence red zone rushing plays,Trevor Lawrence,2024
LAR,4,25,1,4.50%,1,4,1,2.40%,1,4,1,4.30%,All Puka Nacua red zone rushing plays,Puka Nacua,2024
HOU,4,4,0,4.80%,1,-1,0,2.60%,0,0,0,0.00%,All Dameon Pierce red zone rushing plays,Dameon Pierce,2024
TEN,4,20,1,6.80%,1,1,0,4.00%,0,0,0,0.00%,All Mason Rudolph red zone rushing plays,Mason Rudolph,2024
BUF,4,1,0,3.60%,1,4,0,1.70%,0,0,0,0.00%,All Mitchell Trubisky red zone rushing plays,Mitchell Trubisky,2024
LAC,4,3,0,5.50%,1,-1,0,2.20%,0,0,0,0.00%,All Kimani Vidal red zone rushing plays,Kimani Vidal,2024
BAL,3,10,0,3.50%,0,0,0,0.00%,0,0,0,0.00%,All Rasheen Ali red zone rushing plays,Rasheen Ali,2024
ARI,3,7,1,4.20%,1,1,1,3.40%,1,1,1,5.90%,All Trey Benson red zone rushing plays,Trey Benson,2024
NWE,3,-1,0,4.50%,1,-3,0,3.40%,1,-3,0,5.90%,All Jacoby Brissett red zone rushing plays,Jacoby Brissett,2024
ATL,3,-4,0,3.40%,3,-4,0,5.80%,0,0,0,0.00%,All Kirk Cousins red zone rushing plays,Kirk Cousins,2024
SFO,3,14,2,3.10%,3,14,2,5.40%,1,1,1,4.20%,All Joshua Dobbs red zone rushing plays,Joshua Dobbs,2024
KAN,3,33,1,3.60%,0,0,0,0.00%,0,0,0,0.00%,All Mecole Hardman red zone rushing plays,Mecole Hardman,2024
MIA,3,19,2,4.30%,1,1,1,2.60%,1,1,1,5.60%,All Tyler Huntley red zone rushing plays,Tyler Huntley,2024
DET,3,9,0,2.70%,3,9,0,4.60%,1,-2,0,2.90%,All Jermar Jefferson red zone rushing plays,Jermar Jefferson,2024
SFO,3,6,1,3.10%,3,6,1,5.40%,2,0,0,8.30%,All Kyle Juszczyk red zone rushing plays,Kyle Juszczyk,2024
DAL,3,6,0,5.60%,2,2,0,7.70%,1,0,0,8.30%,All Hunter Luepke red zone rushing plays,Hunter Luepke,2024
SEA,3,4,0,5.60%,0,0,0,0.00%,0,0,0,0.00%,All Kenny McIntosh red zone rushing plays,Kenny McIntosh,2024
HOU,3,11,0,3.60%,1,9,0,2.60%,0,0,0,0.00%,All Davis Mills red zone rushing plays,Davis Mills,2024
NOR,3,0,1,4.80%,1,8,1,3.20%,0,0,0,0.00%,All Kendre Miller red zone rushing plays,Kendre Miller,2024
NWE,3,2,1,4.50%,2,1,1,6.90%,2,1,1,11.80%,All Joe Milton red zone rushing plays,Joe Milton,2024
GNB,3,1,0,3.10%,1,-5,0,1.70%,0,0,0,0.00%,All Jayden Reed red zone rushing plays,Jayden Reed,2024
LAR,3,17,0,3.40%,1,2,0,2.40%,0,0,0,0.00%,All Ronnie Rivers red zone rushing plays,Ronnie Rivers,2024
NOR,3,17,0,4.80%,0,0,0,0.00%,0,0,0,0.00%,All Rashid Shaheed red zone rushing plays,Rashid Shaheed,2024
TAM,3,10,0,3.90%,0,0,0,0.00%,0,0,0,0.00%,All Sterling Shepard red zone rushing plays,Sterling Shepard,2024
PHI,3,9,0,2.30%,0,0,0,0.00%,0,0,0,0.00%,All Will Shipley red zone rushing plays,Will Shipley,2024
TAM,3,-2,0,3.90%,0,0,0,0.00%,0,0,0,0.00%,All Kyle Trask red zone rushing plays,Kyle Trask,2024
LVR,3,21,1,5.10%,1,3,1,2.90%,1,3,1,5.00%,All Tre Tucker red zone rushing plays,Tre Tucker,2024
LVR,3,27,1,5.10%,0,0,0,0.00%,0,0,0,0.00%,All DJ Turner red zone rushing plays,DJ Turner,2024
DAL,3,16,0,5.60%,1,1,0,3.80%,0,0,0,0.00%,All Deuce Vaughn red zone rushing plays,Deuce Vaughn,2024
CLE,3,8,1,6.30%,3,8,1,9.40%,1,2,1,7.10%,All Jameis Winston red zone rushing plays,Jameis Winston,2024
CAR,2,8,0,3.10%,1,1,0,2.40%,0,0,0,0.00%,All Mike Boone red zone rushing plays,Mike Boone,2024
CAR,2,2,0,3.10%,2,2,0,4.90%,1,0,0,4.50%,All Jonathon Brooks red zone rushing plays,Jonathon Brooks,2024
NYJ,2,26,0,5.60%,0,0,0,0.00%,0,0,0,0.00%,All Malachi Corley red zone rushing plays,Malachi Corley,2024
NYJ,2,18,1,5.60%,0,0,0,0.00%,0,0,0,0.00%,All Isaiah Davis red zone rushing plays,Isaiah Davis,2024
ARI,2,10,0,2.80%,1,6,0,3.40%,0,0,0,0.00%,All Greg Dortch red zone rushing plays,Greg Dortch,2024
IND,2,3,0,2.00%,0,0,0,0.00%,0,0,0,0.00%,All Joe Flacco red zone rushing plays,Joe Flacco,2024
BAL,2,-1,0,2.40%,0,0,0,0.00%,0,0,0,0.00%,All Zay Flowers red zone rushing plays,Zay Flowers,2024
MIA,2,2,1,2.90%,1,3,1,2.60%,1,3,1,5.60%,All Alec Ingold red zone rushing plays,Alec Ingold,2024
JAX,2,1,1,3.00%,2,1,1,5.00%,2,1,1,9.10%,All Mac Jones red zone rushing plays,Mac Jones,2024
DAL,2,5,0,3.70%,1,-3,0,3.80%,1,-3,0,8.30%,All Trey Lance red zone rushing plays,Trey Lance,2024
NYG,2,13,2,3.60%,2,13,2,6.10%,0,0,0,0.00%,All Drew Lock red zone rushing plays,Drew Lock,2024
WAS,2,1,1,1.60%,2,1,1,2.90%,0,0,0,0.00%,All Marcus Mariota red zone rushing plays,Marcus Mariota,2024
LVR,2,10,0,3.40%,1,4,0,2.90%,0,0,0,0.00%,All Gardner Minshew red zone rushing plays,Gardner Minshew,2024
