RK,TIERS,PLAYER NAME,TEAM,BYE WEEK,SOS SEASON,ECR VS. ADP
165,11,Konata Mumpfield,LAR,8,3 out of 5 stars,-
166,11,Tylan Wallace,BAL,7,3 out of 5 stars,-
167,11,Beaux Collins,NYG,14,2 out of 5 stars,-
168,11,David Moore,CAR,14,4 out of 5 stars,-
169,11,Ricky White III,SEA,8,3 out of 5 stars,-
170,11,Velus Jones Jr.,NO,11,4 out of 5 stars,-
171,11,DeAndre Carter,CLE,9,2 out of 5 stars,-
172,11,Mecole Hardman Jr.,GB,5,2 out of 5 stars,-
173,11,Jalen Brooks,DAL,10,2 out of 5 stars,-
174,11,Trent Sherfield Sr.,DEN,12,3 out of 5 stars,-
175,11,Simi Fehoko,ARI,8,4 out of 5 stars,-
176,12,David Bell,CLE,9,2 out of 5 stars,-
177,12,Nick Nash,ATL,5,3 out of 5 stars,-
178,12,Russell Gage Jr.,SF,14,4 out of 5 stars,-
179,12,Casey Washington,ATL,5,3 out of 5 stars,-
180,12,Ainias Smith,PHI,9,3 out of 5 stars,-
181,12,Ben Skowronek,PIT,5,4 out of 5 stars,-
182,12,Scotty Miller,PIT,5,4 out of 5 stars,-
183,12,Xavier Gipson,NYJ,9,4 out of 5 stars,-
184,12,Terrace Marshall Jr.,PHI,9,3 out of 5 stars,-
185,12,Sterling Shepard,TB,9,3 out of 5 stars,-
186,12,Charlie Jones,CIN,10,3 out of 5 stars,-
187,12,Xavier Smith,LAR,8,3 out of 5 stars,-
188,12,DJ Chark Jr.,FA,-,-,-
189,12,Tim Jones,MIN,6,2 out of 5 stars,-
190,12,Kaden Prather,BUF,7,3 out of 5 stars,-
191,12,Michael Woods II,FA,-,-,-
192,12,Justin Watson,HOU,6,4 out of 5 stars,-
193,12,A.T. Perry,DEN,12,3 out of 5 stars,-
194,12,Erik Ezukanma,MIA,12,3 out of 5 stars,-
195,12,Joshua Cephus,JAC,8,4 out of 5 stars,-
196,12,Austin Trammell,JAC,8,4 out of 5 stars,-
197,12,Ashton Dulin,IND,11,4 out of 5 stars,-
198,12,Dee Eskridge,MIA,12,3 out of 5 stars,-
199,12,Trey Palmer,TB,9,3 out of 5 stars,-
200,12,Brandon Johnson,PIT,5,4 out of 5 stars,-
201,12,Anthony Gould,IND,11,4 out of 5 stars,-
202,12,Skyy Moore,SF,14,4 out of 5 stars,-
203,12,Mason Tipton,NO,11,4 out of 5 stars,-
204,12,Chris Blair,ATL,5,3 out of 5 stars,-
205,12,Bo Melton,GB,5,2 out of 5 stars,-
206,12,LaJohntay Wester,BAL,7,3 out of 5 stars,-
207,12,Julian Fleming,FA,-,-,-
208,12,Robbie Chosen,SF,14,4 out of 5 stars,-
209,12,Lil'Jordan Humphrey,NYG,14,2 out of 5 stars,-
210,12,James Proche II,TEN,10,4 out of 5 stars,-
211,12,Ihmir Smith-Marsette,NYG,14,2 out of 5 stars,-
212,12,Dominic Lovett,DET,8,3 out of 5 stars,-
213,12,Collin Johnson,LV,8,4 out of 5 stars,-
214,12,Ronnie Bell,DET,8,3 out of 5 stars,-
215,12,Darius Cooper,PHI,9,3 out of 5 stars,-
216,12,Zach Pascal,NYG,14,2 out of 5 stars,-
217,12,Xavier Weaver,ARI,8,4 out of 5 stars,-
218,12,Chase Claypool,FA,-,-,-
219,12,Ryan Flournoy,DAL,10,2 out of 5 stars,-
220,12,Nelson Agholor,FA,-,-,-
221,12,Rakim Jarrett,TB,9,3 out of 5 stars,-
222,12,John Stephens Jr.,DAL,10,2 out of 5 stars,-
223,12,Donovan Peoples-Jones,FA,-,-,-
224,12,Kevin Austin Jr.,NO,11,4 out of 5 stars,-
225,13,Justin Shorter,LV,8,4 out of 5 stars,-
226,13,Mason Kinsey,TEN,10,4 out of 5 stars,-
227,13,Michael Bennett,FA,-,-,-
228,13,Kevin White,FA,-,-,-
229,13,Laviska Shenault Jr.,BUF,7,3 out of 5 stars,-
230,13,Kaden Davis,CLE,9,2 out of 5 stars,-
231,13,Michael Strachan,FA,-,-,-
232,13,Malik Heath,GB,5,2 out of 5 stars,-
233,13,Devin Duvernay,CHI,5,2 out of 5 stars,-
234,13,Jha'Quan Jackson,TEN,10,4 out of 5 stars,-
235,13,Marquez Callaway,LV,8,4 out of 5 stars,-
236,13,Kobe Hudson,CAR,14,4 out of 5 stars,-
237,13,Tyrell Shavers,BUF,7,3 out of 5 stars,-
238,13,Braxton Berrios,HOU,6,4 out of 5 stars,-
239,13,KJ Hamler,BUF,7,3 out of 5 stars,-
240,13,Ryan Miller,TB,9,3 out of 5 stars,-
241,13,Trenton Irwin,JAC,8,4 out of 5 stars,-
242,13,Junior Bergen,SF,14,4 out of 5 stars,-
243,13,Tyler Scott,CHI,5,2 out of 5 stars,-
244,13,River Cracraft,WAS,12,3 out of 5 stars,-
245,13,Elijah Cooks,PHI,9,3 out of 5 stars,-
246,14,Tom Kennedy,DET,8,3 out of 5 stars,-
247,14,Traeshon Holden,DAL,10,2 out of 5 stars,-
248,14,Nikko Remigio,KC,10,3 out of 5 stars,-
249,14,Lance McCutcheon,PIT,5,4 out of 5 stars,-
250,14,Steven Sims Jr.,SEA,8,3 out of 5 stars,-
251,14,Alex Bachman,LV,8,4 out of 5 stars,-
252,14,Dareke Young,SEA,8,3 out of 5 stars,-
